StartPointLatitude,StartPointLongitude,EndPointLatitude,EndPointLongitude,City,Latitude,Longitude,Country,StartDate,EndDate,Image
,,,,Tartu,58.3800,26.7225,Estonia,2022-09-01,2023-01-21,
,,,,Tallinn,59.4372,24.7450,Estonia,2023-01-22,2023-01-22,
,,,,Helsinki,60.1756,24.9342,Finland,2023-01-23,2023-01-23,
,,,,Pelkosenniemi,67.1083,27.5167,Finland,2023-01-23,2022-01-24,
,,,,Pyhä,67.022123,27.241607,Finland,2022-01-25,2022-01-25,
,,,,Rovaniemi,66.5028,25.7285,Finland,2023-01-26,2023-01-27,
,,,,Riga,56.9475,24.1069,Latvia,2023-05-18,2023-05-19,
,,,,Charleroi,50.4167,4.4442,Belgium,2023-08-10,2023-08-10,
,,,,Brussels,50.8467,4.3525,Belgium,2023-08-11,2023-08-12,
,,,,Liège,50.6397,5.5706,Belgium,2023-08-14,2023-08-14,
,,,,Leuven,50.8775,4.7044,Belgium,2023-08-13,2023-08-13,
,,,,Namur,50.4667,4.8667,Belgium,2023-08-15,2023-08-15,
,,,,Enschede,52.2225,6.8925,Netherlands,2023-08-16,2023-08-22,
,,,,Goes,51.5000,3.8833,Netherlands,2023-08-23,2023-08-24,
,,,,Noordwijk,52.24,4.45,Netherlands,2023-08-25,2023-08-25,
,,,,Desná,49.8076,16.2241,Czech Republic,2023-08-26,2023-08-27,
,,,,Olomouc,49.5938,17.2509,Czech Republic,2023-08-28,2023-08-29,
,,,,Prague,50.0755,14.4378,Czech Republic,2023-08-30,2023-08-31,
,,,,Fehmarn,54.4454,11.1702,Germany,2023-09-01,2023-09-11,
,,,,Ottignies-Louvain-la-Neuve,50.6670,4.5892,Belgium,2023-09-18,2023-12-21,
,,,,Paris,48.8567,2.3522,France,2023-12-22,2023-12-23,
,,,,"Versailles, Yvelines",48.8047,2.1342,France,2023-12-24,2023-12-24,
,,,,The Hague,52.0800,4.3100,Netherlands,2024-02-01,2024-02-02,
,,,,Amsterdam,52.3728,4.8936,Netherlands,2024-02-02,2024-02-02,
